341,341,47l_R,45.7654321,35.54050926,-14.2503858,R,47l,341
342,342,a47r_R,38.77836832,53.23810789,-8.782088759,R,a47r,342
343,343,IFJa_R,44.03131673,16.48896797,25.10818505,R,IFJa,343
344,344,IFJp_R,39.43648649,7.210810811,27.22297297,R,IFJp,344
345,345,IFSa_R,47.41726619,38.74668686,4.974252177,R,IFSa,345
346,346,IFSp_R,45.49364162,28.39595376,19.24508671,R,IFSp,346
347,347,p47r_R,45.20329358,46.44236229,-3.009653606,R,p47r,347
348,348,46_R,35.98020027,41.25580337,30.06349568,R,46,348
349,349,8Ad_R,24.01345934,32.35051546,41.51345934,R,8Ad,349
350,350,8Av_R,39.80362589,19.3652999,47.86834971,R,8Av,350
351,351,8BL_R,12.45095635,44.05885238,47.50171653,R,8BL,351
352,352,8C_R,39.91129547,18.24760689,36.02648373,R,8C,352
353,353,9-46d_R,28.58036862,50.5445778,21.23274754,R,9-46d,353
354,354,9a_R,19.72604987,63.22244094,18.9671916,R,9a,354
355,355,9p_R,20.96262058,51.5028135,33.49276527,R,9p,355
356,356,a9-46v_R,40.05365297,53.36073059,8.824961948,R,a9-46v,356
357,357,i6-8_R,33.00165426,8.940860215,57.37675765,R,i6-8,357
358,358,p9-46v_R,46.85113269,33.43257821,25.21618123,R,p9-46v,358
359,359,s6-8_R,20.36022514,24.8217636,57.67636023,R,s6-8,359
360,360,SFL_R,7.81603928,19.44746318,63.95090016,R,SFL,360
361,361,AV_L,-4.576086957,-6.039855072,8.891304348,L,AV,361
362,362,CeM_L,-4.737864078,-9.067961165,-0.029126214,L,CeM,362
363,363,CL_L,-5.736842105,-13.68421053,12.84210526,L,CL,363
364,364,CM_L,-10.00737101,-20.74201474,-0.356265356,L,CM,364
365,365,LD_L,-5.275862069,-14.03448276,15.37931034,L,LD,365
366,366,LGN_L,-22.07164179,-27.64477612,-5.005970149,L,LGN,366
367,367,LP_L,-9.213114754,-17.87295082,15.44262295,L,LP,367
368,368,L-Sg_L,-8.833333333,-27.93333333,-2.166666667,L,L-Sg,368
369,369,MDl_L,-7.006289308,-14.94339623,5.764150943,L,MDl,369
370,370,MDm_L,-3.779267203,-16.47453083,5.150134048,L,MDm,370
371,371,MGN_L,-14.42857143,-26.52142857,-5.521428571,L,MGN,371
373,373,Pf_L,-5.965517241,-21.81034483,-2.534482759,L,Pf,373
374,374,PuA_L,-12.03058104,-23.62385321,6.758409786,L,PuA,374
375,375,PuI_L,-17.97959184,-31.10787172,-0.50728863,L,PuI,375
